EVOLUÇÃO DE CARGAS,column2,FASE 1,FASE 6,EVOLUÇÃO (%),FASE 2,FASE 3,FASE 4,FASE 5
Nº,EXERCÍCIO,,,,,,,
1,Agachamento em passada com HBM,20,30,50%,,,,
2,Agachamento livre com HBL,30,20,-33%,,,,
3,"Agachamento livre com ""gaiola""",30,45,50%,,,,
4,Supino inclinado com HBC (CONJUGADO 1),24,15,-38%,,,,
5,Extensão de cotovelos no solo (CONJUGADO 1),0,7,,,,,
6,Desenvolvimento aberto com HBC no banco 75º (CONJUGADO 2),12,14,17%,,,,
7,Abdução de ombros com HBC (CONJUGADO 2),7,14,100%,,,,
EVOLUÇÃO DE CARGAS,,FASE 1,FASE 6,EVOLUÇÃO (%),FASE 2 ,FASE 3,FASE 4,FASE 5
Nº,EXERCÍCIO,,,,,,,
1,Stiff Romeno,30,,,,,,
2,Levantamento terra,20,,,,,,
3,Agachamento pela frente com HBM e Steps,45,,,,,,
4,Remada curvada supinada com HBM (CONJUGADO 1),15,,,,,,
5,Crucifixo inverso com HBC (CONJUGADO 1),7,,,,,,
6,Remada aberta curvada com HBC (CONJUGADO 2),14,,,,,,
7,Pullover com HBC no banco reto (CONJUGADO 2),14,,,,,,
